epoch_no,total_staked,total_pools,total_delegations,production_threshold,productive_pools,productive_stake,productive_delegations,subthreshold_pools,subthreshold_stake,subthreshold_delegations
442,22940355522696339,3073,1309082,1062053496421,1056,22740704109604281,1264059,2017,199651413092058,45023
443,22988928834088224,3069,1309631,1064302260837,1055,22790373144441962,1263686,2014,198555689646262,45945
444,23004649208045949,3040,1310469,1065030055928,1056,22807441055127166,1264734,1984,197208152918783,45735
445,23045467808136013,3040,1311395,1066919805932,1056,22848793508626986,1266586,1984,196674299509027,44809
446,23036424585723136,3045,1312928,1066501138228,1058,22842755026382479,1268475,1987,193669559340657,44453
447,23015951543513577,3043,1313993,1065553312200,1048,22816992902296572,1268887,1995,198958641217005,45106
448,22973647281453944,3045,1315034,1063594781549,1051,22776070322692257,1270583,1994,197576958761687,44451
449,22913589651850692,3044,1316566,1060814335734,1039,22710953243449969,1270850,2005,202636408400723,45716
450,22933912927653027,3043,1317529,1061755228132,1039,22726592029293317,1270780,2004,207320898359710,46749
451,22972937519833023,3039,1318503,1063561922214,1040,22768525704735587,1272366,1999,204411815097436,46137
452,22998890880631860,3034,1319469,1064763466696,1043,22796113889513544,1273416,1991,202776991118316,46053
453,22994869891768396,3031,1320782,1064577309804,1041,22788679976009318,1274716,1990,206189915759078,46066
454,22984219844001210,3031,1322107,1064084252037,1040,22778049385582179,1275787,1991,206170458419031,46320
455,22942860543017489,3029,1323297,1062169469584,1042,22735133911999825,1275050,1987,207726631017664,48247
456,22770454070974905,3025,1324788,1054187688471,1041,22568087946592799,1276579,1984,202366124382106,48209
457,22779501708183156,3032,1326184,1054606560564,1039,22575767435082503,1277841,1993,203734273100653,48343
458,22765662149259078,3031,1327342,1053965840243,1042,22564755711996097,1279484,1989,200906437262981,47858
459,22738105605272210,3029,1328663,1052690074318,1039,22533454362995186,1279497,1990,204651242277024,49166
460,22775568090705115,3025,1330033,1054424448644,1041,22570875943290399,1281108,1984,204692147414716,48925
461,22777537504728683,3027,1330729,1054515625219,1041,22573789770112018,1281842,1986,203747734616665,48887
462,22803301466429253,3027,1331762,1055708401224,1036,22597454988422679,1282929,1991,205846478006574,48833
463,22790065923096244,3032,1332390,1055095644588,1035,22578523718139042,1283870,1997,211542204957202,48520
464,22806091554047574,3034,1333193,1055837571947,1039,22598815529742342,1284405,1995,207276024305232,48788
465,22819400151950538,3036,1334518,1056453710738,1033,22608114067776932,1285236,2003,211286084173606,49282
466,22806500155574553,3037,1335577,1055856488684,1034,22600229544192487,1286556,2003,206270611382066,49021
467,22879836956660107,3035,1336611,1059251710956,1023,22664939414321786,1286177,2012,214897542338321,50434
468,22882223369631738,3030,1336303,1059362193039,1019,22664550727234424,1285647,2011,217672642397314,50656
